4.1896,100.0
4.174,100.0
4.1721,100.0
4.1707,100.0
4.1694,100.0
4.1684,100.0
4.1675,100.0
4.1666,100.0
4.1658,100.0
4.165,100.0
4.1642,100.0
4.1635,100.0
4.1628,100.0
4.1621,100.0
4.1615,100.0
4.1608,100.0
4.1602,100.0
4.1596,100.0
4.159,100.0
4.1583,100.0
4.1577,100.0
4.1572,100.0
4.1566,100.0
4.156,100.0
4.1554,100.0
4.1549,100.0
4.1543,100.0
4.1537,100.0
4.1532,100.0
4.1526,100.0
4.1521,100.0
4.1515,100.0
4.151,100.0
4.1505,100.0
4.1499,100.0
4.1494,100.0
4.1488,100.0
4.1483,100.0
4.1477,100.0
4.1472,100.0
4.1467,100.0
4.1462,100.0
4.1457,100.0
4.1452,100.0
4.1446,100.0
4.1441,100.0
4.1436,100.0
4.143,100.0
4.1425,100.0
4.142,100.0
4.1415,100.0
4.141,100.0
4.1405,100.0
4.14,100.0
4.1395,100.0
4.139,100.0
4.1385,100.0
4.138,100.0
4.1375,100.0
4.137,100.0
4.1365,100.0
4.136,100.0
4.1355,100.0
4.135,100.0
4.1345,100.0
4.134,100.0
4.1335,100.0
4.133,100.0
4.1326,100.0
4.1321,100.0
4.1316,100.0
4.1311,100.0
4.1306,100.0
4.1301,100.0
4.1296,100.0
4.1292,100.0
4.1287,100.0
4.1282,100.0
4.1278,100.0
4.1273,100.0
4.1268,100.0
4.1263,100.0
4.1258,100.0
4.1254,100.0
4.1249,100.0
4.1244,100.0
4.124,100.0
4.1235,100.0
4.123,100.0
4.1226,100.0
4.1221,100.0
4.1216,100.0
4.1211,100.0
4.1207,100.0
4.1202,100.0
4.1197,100.0
4.1193,100.0
4.1188,100.0
4.1183,100.0
4.1179,100.0
4.1174,100.0
4.1169,100.0
4.1164,100.0
4.116,100.0
4.1155,100.0
4.1151,100.0
4.1146,100.0
4.1141,100.0
4.1136,100.0
4.1132,100.0
4.1127,100.0
4.1122,100.0
4.1118,100.0
4.1114,100.0
4.1109,100.0
4.1104,100.0
4.11,100.0
4.1095,100.0
4.1091,100.0
4.1086,99.9
4.1082,99.9
4.1077,99.9
4.1073,99.8
4.1068,99.8
4.1064,99.7
4.106,99.7
4.1055,99.7
4.105,99.6
4.1046,99.6
4.1042,99.6
4.1037,99.5
4.1033,99.5
4.1028,99.5
4.1024,99.4
4.1019,99.4
4.1015,99.3
4.101,99.3
4.1006,99.3
4.1001,99.2
4.0997,99.2
4.0993,99.2
4.0988,99.2
4.0984,99.1
4.0979,99.1
4.0975,99.0
4.097,99.0
4.0965,98.9
4.0961,98.9
4.0957,98.9
4.0952,98.8
4.0948,98.8
4.0943,98.7
4.0939,98.7
4.0935,98.7
4.093,98.6
4.0926,98.6
4.0921,98.5
4.0917,98.5
4.0912,98.4
4.0908,98.4
4.0904,98.4
4.0899,98.3
4.0895,98.3
4.089,98.2
4.0886,98.2
4.0882,98.2
4.0878,98.1
4.0874,98.1
4.0869,98.0
4.0865,98.0
4.0861,98.0
4.0857,97.9
4.0852,97.9
4.0848,97.8
4.0844,97.8
4.0839,97.7
4.0835,97.7
4.0831,97.7
4.0827,97.6
4.0823,97.6
4.0818,97.5
4.0814,97.5
4.0809,97.5
4.0805,97.4
4.0801,97.4
4.0797,97.3
4.0792,97.3
4.0788,97.2
4.0784,97.2
4.0779,97.2
4.0775,97.1
4.0771,97.1
4.0766,97.0
4.0762,97.0
4.0758,97.0
4.0753,96.9
4.0749,96.9
4.0745,96.8
4.0741,96.8
4.0736,96.7
4.0732,96.7
4.0728,96.7
4.0724,96.6
4.072,96.6
4.0715,96.5
4.0711,96.5
4.0707,96.5
4.0702,96.4
4.0698,96.4
4.0694,96.3
4.069,96.3
4.0686,96.3
4.0682,96.2
4.0678,96.2
4.0674,96.1
4.0669,96.1
4.0665,96.0
4.0661,96.0
4.0657,96.0
4.0653,95.9
4.0649,95.9
4.0645,95.8
4.0641,95.8
4.0637,95.8
4.0633,95.7
4.0629,95.7
4.0625,95.6
4.0621,95.6
4.0617,95.5
4.0613,95.5
4.0609,95.5
4.0605,95.4
4.0601,95.4
4.0597,95.3
4.0592,95.3
4.0588,95.3
4.0584,95.2
4.058,95.2
4.0576,95.1
4.0572,95.1
4.0569,95.0
4.0565,95.0
4.0561,95.0
4.0557,94.9
4.0553,94.9
4.0549,94.8
4.0545,94.8
4.0541,94.8
4.0537,94.7
4.0534,94.7
4.053,94.6
4.0526,94.6
4.0522,94.6
4.0518,94.5
4.0515,94.5
4.0511,94.4
4.0508,94.4
4.0504,94.3
4.05,94.3
4.0497,94.3
4.0493,94.2
4.0489,94.2
4.0486,94.1
4.0482,94.1
4.0479,94.1
4.0475,94.0
4.0472,94.0
4.0468,93.9
4.0465,93.9
4.0461,93.8
4.0457,93.8
4.0454,93.8
4.045,93.7
4.0446,93.7
4.0443,93.6
4.0439,93.6
4.0435,93.6
4.0432,93.5
4.0428,93.5
4.0424,93.4
4.042,93.4
4.0417,93.3
4.0413,93.3
4.0409,93.3
4.0405,93.2
4.0402,93.2
4.0398,93.1
4.0394,93.1
4.039,93.1
4.0386,93.0
4.0382,93.0
4.0378,92.9
4.0374,92.9
4.0371,92.9
4.0367,92.8
4.0363,92.8
4.0359,92.7
4.0355,92.7
4.0351,92.6
4.0347,92.6
4.0343,92.6
4.0339,92.5
4.0335,92.5
4.0331,92.4
4.0327,92.4
4.0323,92.4
4.0319,92.3
4.0315,92.3
4.0311,92.2
4.0307,92.2
4.0303,92.1
4.0299,92.1
4.0295,92.1
4.0291,92.0
4.0287,92.0
4.0283,91.9
4.0278,91.9
4.0274,91.9
4.027,91.8
4.0266,91.8
4.0262,91.7
4.0258,91.7
4.0254,91.6
4.0249,91.6
4.0245,91.6
4.0241,91.5
4.0236,91.5
4.0232,91.4
4.0228,91.4
4.0224,91.4
4.0219,91.3
4.0215,91.3
4.0211,91.2
4.0206,91.2
4.0202,91.2
4.0198,91.1
4.0194,91.1
4.0189,91.0
4.0185,91.0
4.0181,90.9
4.0176,90.9
4.0172,90.9
4.0168,90.8
4.0164,90.8
4.0159,90.7
4.0155,90.7
4.0151,90.7
4.0147,90.6
4.0142,90.6
4.0139,90.5
4.0134,90.5
4.013,90.4
4.0126,90.4
4.0121,90.4
4.0117,90.3
4.0113,90.3
4.0109,90.2
4.0105,90.2
4.01,90.2
4.0096,90.1
4.0091,90.1
4.0087,90.0
4.0083,90.0
